col;num;pattern
Age;0;'^nan$^\d{1,2}\.\d{1,2}$'
Cabin;0;'^nan$^\d{1,2}\.\d{1,2}$'
Cabin;1;'^[A-Za-z0-9]+$^[0-9A-F]{1,3} [A-Z]\d{2}$^B57 B59 B63 B66$^[A-Z]\d{2} [A-Z]\d{2} [A-Z]\d{2}$'
Embarked;0;'^nan$^\d{1,2}\.\d{1,2}$'
Embarked;1;'^[A-Za-z0-9]+$^[0-9A-F]{1,3} [A-Z]\d{2}$^B57 B59 B63 B66$^[A-Z]\d{2} [A-Z]\d{2} [A-Z]\d{2}$'
Embarked;2;'^[A-Za-z]{1,3}$'
Fare;0;'^nan$^\d{1,2}\.\d{1,2}$'
Fare;1;'^[A-Za-z0-9]+$^[0-9A-F]{1,3} [A-Z]\d{2}$^B57 B59 B63 B66$^[A-Z]\d{2} [A-Z]\d{2} [A-Z]\d{2}$'
Fare;2;'^[A-Za-z]{1,3}$'
Fare;3;'^nan$^\d{1,3}\.\d+$'
Name;0;'^nan$^\d{1,2}\.\d{1,2}$'
Name;1;'^[A-Za-z0-9]+$^[0-9A-F]{1,3} [A-Z]\d{2}$^B57 B59 B63 B66$^[A-Z]\d{2} [A-Z]\d{2} [A-Z]\d{2}$'
Name;2;'^[A-Za-z]{1,3}$'
Name;3;'^nan$^\d{1,3}\.\d+$'
